ColxCvi_2cell	CvixCol_2cell	unwashed_ColxCvi_8cell	unwashed_CvixCol_8cell	ColxCvi_8cell	CvixCol_8cell	ColxCvi_eg	CvixCol_eg
AT5G20030	2.4	0.4	0.26	0.42	0.45	0.57	0.25	1.17
AT5G20040	12.51	6.79	11.47	14.62	15.05	14.51	14.72	15.95
AT5G20045	0	0	0	0	0	0	0	0
AT5G20050	0.12	2.76	0.39	0.48	0.57	0.63	0.38	0.22
AT5G20060	82.48	116.88	99.38	96.06	115.74	129.95	162.62	135.59
AT5G20070	36.55	57.77	24.84	47.39	41.83	41.37	42.3	40.18
AT5G20080	40.8	33.19	39.04	68.46	49.15	41.25	60.48	62.75
AT5G20090	270.82	297.15	456.05	375.03	354.75	391.48	371.87	432.61
AT5G20100	0	0	0	0.5	0	0	0	0
AT5G20110	2.55	2.63	0	0.76	0.22	0.24	0	0
AT5G20120	27.79	36.57	12.18	13.09	9.14	10.93	5.52	9.64
AT5G20130	128	89.54	57.57	79.78	64.42	70.55	49.4	71.54
AT5G20140	8.34	6.2	6.65	8.95	0.32	6.34	7.09	8.87
AT5G20150	28.04	47.79	14.47	12.93	13.42	25.62	5.21	15.75
AT5G20160	736.46	605.38	1008.76	827.95	773.62	619.03	716.97	773
AT5G20165	95.07	88.21	74.18	72.33	69.74	75.69	64.73	73.07
AT5G20170	15.82	11.89	6.38	9.67	4.41	7.32	5.61	8.47
AT5G20180	236.64	324.71	492.73	321.23	421.56	304.08	540.36	273.82
AT5G20190	24.92	31.38	42.15	41.91	26.4	41.05	26.19	34.94
AT5G20200	33.18	25.62	16.13	21.08	18.43	18.59	15.56	20.39
AT5G20220	0.21	0	0.24	1.23	0	1.76	0.91	0
AT5G20225	0	0	0	0.17	0	0.28	0	0.41
AT5G20230	20.62	2.14	16.78	8.72	0.36	5.5	6.59	0
AT5G20240	0.55	0	0.3	0	0.17	0	0.71	0
AT5G20250	150.01	108.94	12.2	16.88	14.15	51.38	11.79	16.87
AT5G20260	0	0	0	0.1	0	0.62	0	0.55
AT5G20270	24.52	24.78	44.78	38.88	16.44	9.11	36.24	37.9
AT5G20280	2.12	8.38	13.84	9.87	2.11	2.89	2.15	5.1
AT5G20290	4627.64	4908.64	7215.1	6680.87	6219.01	5426.45	6176.14	6451.46
AT5G20300	3.04	3.53	1.42	3.69	1.21	2.74	1.05	2.2
AT5G20310	0	0	0	0	0	0.35	0	0
AT5G20320	0.09	1.1	2.4	2.38	0.91	2.42	1.95	2.14
AT5G20330	0	0	0	0	0	0	0.11	0
AT5G20340	0	0	0	0	0	0	0	0
AT5G20350	26.05	23.65	15.73	17.54	13.83	16.36	14.93	14.56
AT5G20360	5.44	5.05	1.86	1.88	0.62	2.09	1.83	1.29
AT5G20370	1.32	1.67	2.67	0.44	0	2.06	0.26	1.21
AT5G20380	2.41	3.18	1.3	2.12	0.98	2.12	2.13	1.68
AT5G20390	6.88	2.02	4	4	0	2.16	0	0
AT5G20400	0	0	0	0	0	0	0	0
AT5G20410	4.08	3.97	9.5	7.07	4.52	3.51	1.45	4.49
AT5G20420	0	0	0	0.03	0	0	0	0.05
AT5G20430	0	0	3.17	0	0	0	1.06	0
AT5G20440	0	0	0.36	1.76	0	0	0	0
AT5G20447	0	0	5.6	2.29	3.23	0	0	0
AT5G20450	9.23	2.66	4.39	6.37	5.36	6.27	5.16	5.86
AT5G20460	0	0	0	0	0	0	0	0
AT5G20470	0	0	0	0	0	0	0	0
AT5G20480	1.33	4.94	2.14	1.51	2.56	1.79	0.55	3.49
AT5G20490	6.06	4.18	2.73	5.57	3.5	4.01	3.32	5.05
AT5G20500	221.62	208.75	398.64	335.71	326.13	214.82	381.71	239.04
AT5G20510	6.02	2.53	11.97	24.05	11	30.22	14.92	25.02
AT5G20520	17.8	23.25	10.02	18.54	8.04	14	7.6	11.63
AT5G20540	1.83	1.95	4.09	11.8	7.06	6.59	5.24	10.46
AT5G20550	0	0	0	0	0	0.87	0.13	0
AT5G20560	0	0	0	0	0	0	0	0
AT5G20570	162.74	158.41	271.55	251.86	227.69	185.2	273.66	235.88
AT5G20580	3.47	5.88	1.96	4.65	2.7	6.24	4.81	2.89
AT5G20590	8.25	11.07	2.94	12.4	7.13	8.74	5.04	11.1
AT5G20600	111	83.99	63.24	74.91	73.75	71.99	44.3	67.51
AT5G20610	3.77	6.41	1.94	4.22	4.21	5.7	2.35	4.24
AT5G20620	85.07	126.46	115.39	117.02	103.38	108.18	51.05	95.3
AT5G20630	2.7	9.07	19.95	209.71	1.27	2.1	0	0
AT5G20635	32.17	28.06	17.99	25.35	37.81	30.02	33.44	34.32
AT5G20640	0.51	0.32	2.19	2.33	0.99	1.04	1.33	0.92
AT5G20650	33.8	51.59	70.55	71.88	50.62	44.42	65.61	48.77
AT5G20660	16.53	23.08	19.49	17.29	12.22	12.51	11.19	7.93
AT5G20670	0.26	0	1.06	1.56	0	0	0	0
AT5G20680	9.53	11.67	7.22	12.35	7.65	13	6.89	10.01
AT5G20690	0.2	0	0	0.33	0	0	0	0
AT5G20700	0.13	0.16	3.69	10.63	0.48	0.13	0	0.12
AT5G20710	0	0	3.22	3.02	0	0	0.15	0.09
AT5G20720	407.82	519.54	279	335.01	279.52	430.72	500.71	488.32
AT5G20730	2.44	4.33	4.38	5.71	1.32	4.04	3.55	4.15
AT5G20740	0.23	2.25	9	9.93	1.55	1.45	3.38	4.05
AT5G20750	0.55	0.69	0.38	0.15	0	0.32	0.36	0.43
AT5G20760	0	0	0	0	0	0	0	0
AT5G20770	0	0	0	0	0	0	0	0
AT5G20780	0	0	0	0	0	0	0	0
AT5G20790	0	1.41	0	0	0	0	0	0.17
AT5G20800	0	0	0	0	0	0	0	0
AT5G20810	3.03	16.85	3.45	7.17	2.99	3.89	2.76	4.41
AT5G20820	0	0	0	0.43	0	0	0	0
AT5G20830	22.06	27.5	54.19	17.7	10.17	7.98	2.08	6.06
AT5G20840	14	16.49	4.91	6.95	4.42	8.44	3.5	6.1
AT5G20850	11.67	5.04	2.71	5.91	4.54	4.99	5.33	3.94
AT5G20852	0.66	0	0	0	0	0	0	0
AT5G20854	0.66	0	0	0	0	0	0	0
AT5G20856	0	0	0	0	0	0	0	0
AT5G20858	0.66	0	0	0	0	0	0	0
AT5G20860	0	0	0	0.08	0	0	0	0
AT5G20870	0	0	0.3	0.41	0.47	0	0	0.23
AT5G20880	5.63	16.47	26.12	16.17	22.23	8.56	13.87	11.06
AT5G20885	0.31	4.86	9.84	6.7	3.65	4.17	4.55	2.26
AT5G20890	139.2	179.26	119.66	170.01	123.4	113.47	102.37	136.92
AT5G20900	77	93.29	97.7	115.52	51.78	134	74.55	101.98
AT5G20910	28.02	35.07	16.62	23.45	24.12	41.17	8.87	21.15
AT5G20920	150.05	117.09	86.59	100.54	131.6	102.4	115.89	121.19
AT5G20930	5.95	8.33	3.58	7.34	7.12	3.83	3.37	6.29
AT5G20935	0	0	0	1.1	0	0	0	0
AT5G20940	0.65	1.87	0.63	0.39	0	0.57	0.27	0.11
AT5G20950	47.24	51.72	59.21	134.42	95.23	82.12	164.38	133.68
AT5G20960	0	0.34	0.33	0.24	0.43	0.24	0.63	1.54
AT5G20970	0	0	0	0.88	0	1.15	0	1.83
AT5G20980	8.02	6.86	7.53	6.84	6.54	6.28	5.63	6.35
AT5G20990	3.45	7.37	2.44	5.71	3.26	6.62	5.26	7.37
AT5G20995	0	0	0	0	0	0	0	0
AT5G21010	14.31	9.77	12.62	14.01	6.82	12.36	10.47	11.4
AT5G21020	92.35	46.53	91.02	69.03	26.53	70.41	49	57.72
AT5G21030	17.9	13.29	2.24	4.61	3.67	5	1.96	2.47
AT5G21040	18.45	12.55	7.52	11.94	10.12	7.16	4.85	9.21
AT5G21050	0.42	7.74	0.85	0.84	1.8	2.2	0.49	0.19
AT5G21060	23.94	28.58	25.32	34.4	34.94	36.48	35.76	33.61
AT5G21070	24.26	54.72	25.91	40.6	23.07	34.21	30.22	28.69
AT5G21080	1.11	0.15	0.4	0.16	1.28	0.9	0.14	0.17
AT5G21090	122.3	106.83	85.8	111.39	68.52	117.3	97.5	147.84
AT5G21100	0	0	0.5	0.34	0	0.43	0.24	0.19
AT5G21105	48.39	68.29	60.01	59.79	37.64	34.91	22.49	32.41
AT5G21120	0.26	1.8	0.49	0.72	0	0.54	0	0.24
AT5G21125	0	0	0	0.84	0	0	0	0
AT5G21130	0	0	0.36	0.44	0	0	0	0
AT5G21140	26.13	25.42	4.54	14.32	6.21	9.42	14.66	10.75
AT5G21150	35.49	63.56	30.23	73.05	25.36	94.71	51.53	93.2
AT5G21160	28.56	23.64	11.45	20.55	17.4	19.91	16.64	21.87
AT5G21170	56.92	29.27	16.55	28.06	19.39	41.45	16.39	26.09
AT5G21222	1.9	2.02	0.35	1.92	0.37	1.67	1.16	1.81
AT5G21274	259.11	358.04	237.89	264.54	296.37	260.33	225.83	265.81
AT5G21280	0	0	0	0	0	0	0	0
AT5G21326	6.48	12.9	4.93	11.63	6.34	14.91	10.94	12.19
AT5G21378	0	0	0	0	0	0	0	0
AT5G21430	0	0	0.19	4.92	0	0	0.19	0.44
AT5G21482	0.11	0.14	0.26	1.21	0	1.12	2.93	5.54
AT5G21535	0	0	0	0	0	0	0	0
AT5G21900	0.47	1.63	1.23	1.47	1.06	1.71	1	1.85
AT5G21910	0.95	1.43	2.65	5.59	0.35	3.27	1.76	0.66
AT5G21920	14.76	14.98	20.64	29.45	19.35	23.27	34.08	20.47
AT5G21930	6.1	5.48	1.85	6.55	1.71	2.75	1.13	3.95
AT5G21940	90.59	81.89	7.46	3.14	10.92	8.9	3.9	1.74
AT5G21950	2.23	0.86	1.41	4.48	0.16	0.53	1.35	0.32
AT5G21960	0	0	2.59	0.39	0	0	0	0
AT5G21970	5.47	6.27	2.06	6.24	3.21	4.16	3.1	5.01
AT5G21990	41.99	37.83	32.97	38.91	44.14	49.36	18.14	26.7
AT5G22000	64.07	56.44	30.1	46.51	18.04	43.81	14.78	34.78
AT5G22010	22.15	25.6	12.36	19.79	15.37	26.06	12.48	23.29
AT5G22020	1.16	4.36	19.15	8.92	0.69	4.66	1.13	5.06
AT5G22030	9.84	9.36	5.65	8.62	6.53	10.59	4.06	7.41
AT5G22040	16.33	16.95	7.14	13.87	12.78	13.26	14.17	13.01
AT5G22044	0	0	0	0	0	0	0	0
AT5G22050	10.46	6.08	4.89	1.6	5.77	8.7	0.14	1.68
AT5G22060	94.51	131.55	97.55	82.53	89.92	116.51	85.41	123.62
AT5G22070	1.27	1.64	1.36	1.76	0.12	2.14	0.58	2.76
AT5G22080	47.8	69.45	37.41	52.97	39.6	65.31	30.2	49.43
AT5G22090	0.76	0.55	1.31	4.46	0.62	0.79	0.5	1
AT5G22100	53.13	35.4	47.31	58.19	44.9	57.52	53.18	65.52
AT5G22110	9.24	8.54	0.85	8.96	9.27	8.25	3.3	5.61
AT5G22120	20.35	18.07	5.78	8.33	9.49	12.19	7.07	10.63
AT5G22130	7.13	9.65	8.02	10.9	13.84	5.03	6.71	6.65
AT5G22140	11.75	26.63	11.66	17.4	8.56	17.25	13.31	14.74
AT5G22145	0	0	0	0	0	0	0	0
AT5G22150	0	0	0.17	0.14	0	0.21	0	0
AT5G22160	0	0	0	0	0	0	0	0
AT5G22170	0	0	0	0	0	0	0	0
AT5G22180	0	0	0	0	0	0	0	0
AT5G22190	0	0	0	0	0	0	0	0
AT5G22200	1.36	5.99	12.23	10.29	3.85	3.06	6.31	6.84
AT5G22210	13.75	48.37	55.18	35.48	26.29	19.68	28.21	26.21
AT5G22220	1.89	9.68	0.71	3.97	0.31	4.88	2.75	3.15
AT5G22240	0	0	0	0	0	0	0	0
AT5G22250	4.42	0.64	8.63	0.67	0.48	0.35	1.18	0
AT5G22260	0	0	0	0	0	0	0	0
AT5G22270	55.94	34.3	9.9	1.62	17.38	3.06	2.09	0.45
AT5G22280	32.21	20.91	20.92	27.65	17.25	24.27	21.72	28.92
AT5G22290	9.16	9.16	5.16	7.09	4.81	14.07	5.3	11.06
AT5G22300	0.18	1.83	0.81	1.43	0.69	0.15	2.25	2.06
AT5G22310	0	0	0	0.07	0	0	0.49	0.29
AT5G22315	0	0	0	0	0	0	0	5.4
AT5G22320	42.16	26.68	14.14	16.22	32.2	27.53	8.8	17.09
AT5G22330	33.06	36.84	15.16	34.48	22.05	33.05	26.56	38.5
AT5G22340	25.37	22.94	12.57	26.73	11.75	33.44	20.18	27.18
AT5G22350	8.68	11.44	5.04	7.91	6.48	9.01	6.1	8.78
AT5G22355	0	0	0	0.13	0	0	0	0
AT5G22360	24.81	37.72	32.44	34.2	23.94	28.7	26.22	26.46
AT5G22370	20.04	17.63	14.23	19.19	18.09	30.86	21.48	23.54
AT5G22380	0	0	0	0	0	2.77	0	0
AT5G22390	0	0	0	0	0	0.38	0	0.33
AT5G22400	7.72	10.69	7.29	10.75	3.44	9.04	5.38	9.39
AT5G22410	2.82	2.67	0.14	0	0.17	5.31	0	0.16
AT5G22420	0	0	0	0	0	0	0	0
AT5G22430	0	0	1.35	0.95	0	0	0	0.22
AT5G22440	660.36	725.98	704.29	778.94	764.1	764.34	902.02	876.63
AT5G22450	11.51	11.53	3.76	5.1	5.52	10.03	2.52	7.05
AT5G22460	0.45	0	7.38	9.32	0	0.57	0	0.17
AT5G22470	1.41	0.69	0.19	0	0	0.08	0	0
AT5G22480	25.48	24.33	11.17	17.04	17.31	29.8	19.7	29.64
AT5G22490	0	0	0	0.09	0	0	0	0
AT5G22500	0	0	0.19	0.42	0	0.37	1.55	0.65
AT5G22505	0	0	0	0.5	0	0	0	0
AT5G22510	8.83	7.61	5.26	6.42	1.98	4.56	3.3	7.93
AT5G22520	0	4.25	1.09	1.33	0.96	5.25	8.1	5.87
AT5G22530	0	0	0	0.57	0	0.3	0	0.53
AT5G22540	0	0	0	0.09	0	0	0.45	0.13
AT5G22545	0	0	0	0.22	0	0	0.25	0.9
AT5G22550	0	0	0.49	0	0	0	0	0
AT5G22555	0	0	0	0	0	0	0	0
AT5G22560	0	0	0	0	0	0	0	0
AT5G22570	0	0	0.42	0.79	0.16	0	0	0
AT5G22580	1.44	1.52	61.17	94.4	0.68	0.75	0.56	0
AT5G22590	0	0	0	0	0	0	0	0
AT5G22600	0.85	0.51	0	0.28	0	0.59	0	1.16
AT5G22608	1.29	4.53	5.3	3.1	10.65	5.96	5.01	6.65
AT5G22610	0	0	0.52	0.1	0.14	0	0	0.27
AT5G22620	8.59	6.44	4.04	3.66	4.21	4.55	6.91	10.36
AT5G22630	1.73	0.51	10.5	4.02	1.15	1.69	2.05	4.01
AT5G22640	27.48	35.68	11.53	24.06	13.2	22.09	14.1	21.58
AT5G22650	1088.88	1146.72	505.53	866.76	810.11	973.13	420.3	1043.21
AT5G22660	0	0	0.48	0	0	0.14	0	0
AT5G22670	0	0	0	0	0	1.05	0	0.15
AT5G22680	7.36	7.31	2.16	0.29	1.69	13.67	0.86	2.45
AT5G22690	10.94	4.9	0.66	1.43	2.48	4.72	0.94	2.8
AT5G22700	1.92	5.86	2.85	2.19	3.15	3.26	2.23	3.2
AT5G22720	0.8	0	0	0	0	2.82	0	0.44
AT5G22730	12.97	7.24	8.74	10.55	8.95	6.44	6.9	12.2
AT5G22740	0.42	0.43	6.08	7.47	0	0.53	1.44	0.85
AT5G22750	4.4	2.96	0.78	1.11	1.31	1.75	1.03	1.99
AT5G22760	0.9	2.16	0.75	1.32	0.96	1.02	0.72	1.2
AT5G22765	16.56	15.2	13.48	14.57	20.4	8.42	9.67	10.34
AT5G22770	15.95	21.47	7.27	7.02	10.07	10.43	4.02	6.35
AT5G22780	22.25	24.67	11.79	13.14	12.59	14.43	8.7	14.02
AT5G22785	0	0	0	0	0	0	0	0
AT5G22788	9.52	12.48	5.44	6.27	7.12	7	3.69	4.72
AT5G22790	19.89	20.92	19.17	24.66	23.53	17.6	16.28	21.95
AT5G22791	0	0	0	0.25	0	0	0	0
AT5G22792	0	0	0	0	0	0	0	0
AT5G22794	0.25	0.96	0	0	0.37	0.63	0	0.3
AT5G22796	1.81	8.27	2.51	1.37	3.67	6.34	1.2	5.64
AT5G22799	1.98	3.69	0	0.38	0	0.61	0.45	4.46
AT5G22800	3.8	6.63	4.49	6.71	13.82	8.99	5	6.72
AT5G22810	0.27	1.38	1.96	27.06	6.34	9.05	221.54	77.29
AT5G22820	4.79	2.61	10.51	40.39	6.52	18.07	137.45	98.74
AT5G22830	0.44	1.52	2.8	1.12	0.14	0.6	1.28	1.33
AT5G22840	45.43	36.6	21.29	33.69	22.93	25.71	19.8	32.78
AT5G22850	17.67	11.72	7.33	18.6	7.39	19.66	8.19	14.92
AT5G22860	0	0	0	0	0	0	0	0
AT5G22870	0	0	0	0	0	0	0	0
AT5G22875	29.4	42.56	36.67	18.22	24.81	25.39	23.47	24.35
AT5G22880	684.89	420.19	305.91	641.1	327.16	424.69	324.17	385.65
AT5G22890	0	0	0.23	0	0	0	0.33	0
AT5G22900	0.09	0	0	0	0	0	0	0
AT5G22910	0	0	0	0	0	0	0	0
AT5G22920	174.55	88.35	9.05	12.31	2.11	15.78	4.08	2.49
AT5G22930	0	0	0	0.52	0	0	0	0
AT5G22940	4.14	8.08	8.83	12.54	3.08	6.86	9.59	8.95
AT5G22950	9.99	16.59	10.11	8.68	14.85	17.21	12.84	12.46
AT5G22960	0	0	0	0	0	0	0	0
AT5G22970	0	0	0	0	0	0	0	0
AT5G22980	0.13	0	4.64	5.56	1.09	0.66	0.5	0.59
AT5G22990	0	0	0.56	0.15	0	0	0	0
AT5G23000	0	0	0	0	0	0.17	0	0
AT5G23010	0	0	0	0	0	0	0	0
AT5G23020	0	0	0	0	0	0	0	0
AT5G23030	0	0	0	0	0	0	0	0
AT5G23035	0	0	0	0	0	0	0	0
AT5G23040	131.08	116.26	58.3	88.03	72.45	83.74	82	92.29
AT5G23050	9.46	4.58	3.2	5.29	4.71	4.3	3.73	5.57
AT5G23060	0.59	0	7.44	6.56	3.29	2.89	11.35	3.62
AT5G23065	0	0	0	0	0	0	0	0
AT5G23070	36.62	36.9	26.83	28.54	20.68	21.94	26.42	27.17
AT5G23080	13.8	16.09	6.47	9.61	11.13	13.05	5.77	10.05
AT5G23090	32.32	17.95	22.06	15.18	37.8	25.24	28.26	23.12
AT5G23100	0.42	1.59	1.13	3.15	1.06	1.61	2.18	1.03
AT5G23110	2.23	2.06	1.39	1.83	1.36	3.68	0.7	1.29
AT5G23115	19.16	9.97	4.48	4.58	5	4.8	3.33	3.57
AT5G23120	14.8	6.76	8.89	16.09	4.8	6.48	11.83	8.38
AT5G23130	3.75	8.83	2.82	3.87	0.83	8.19	2.71	3.44
AT5G23140	27.82	37.7	50.66	41.2	41.08	36.8	55.02	50.84
AT5G23150	6.41	5.51	1.97	4.4	4.66	4.89	2.62	4.51
AT5G23155	9.17	11.55	3.88	4.03	9.08	3.63	3.6	4.8
AT5G23160	0.45	0	0	0.15	0	0	0	0.21
AT5G23170	0	0	0	0.3	0	0	0.12	0.42
AT5G23180	32.31	58.59	9.49	14.86	11.56	6.61	2.65	4.04
AT5G23190	22.64	31.64	12.47	8.93	9.47	7.34	4.81	4.9
AT5G23200	8.23	13.47	7.96	9.39	8.16	7.55	8.39	10.05
AT5G23210	0	1.78	14.94	6.93	0.3	1.48	0	0
AT5G23212	4.93	6.21	42.29	22.16	12.1	23.54	3.05	8.13
AT5G23220	0	0	0	0.13	0	0	0	0
AT5G23230	5.28	3.39	3.21	3.26	1.78	1.63	0.73	0
AT5G23235	0	0.72	0	0.1	0	0	0	0
AT5G23240	0	0	0.63	4.46	0	0	0	0
AT5G23250	60.07	56.77	46.27	53.95	53.54	40.84	44.44	52.43
AT5G23260	4.13	0	9.54	3.38	0	0.27	0.15	0.24
AT5G23270	4.2	0	2.23	1.31	0.1	0.11	0	0
AT5G23280	0.22	0.14	4.48	5.6	0	0.34	0.08	0
AT5G23290	204.68	184.74	210.23	207.93	173.98	195.36	213	222.74
AT5G23300	39.49	55.41	46.66	50.84	53.15	50.79	46.37	58.63
AT5G23310	10.85	11.43	14.06	26.61	18.15	17.74	31.98	30.16
AT5G23320	0.78	2.46	5.98	3.09	1.63	3.65	2.42	1.79
AT5G23330	9.86	15.75	7.1	15.19	5.49	13.71	15	15.32
AT5G23340	8.05	14.6	9.74	8.2	7.37	3.8	5.86	6.04
AT5G23350	0.35	0	2.81	0.87	0	0	0	0
AT5G23360	0	0.57	3.28	0.63	0	0	0	0
AT5G23370	0	0	3.73	0.42	0	0	0	0
AT5G23380	4.16	2.17	2.9	9.29	4.22	8.25	1.9	3.81
AT5G23390	2.36	3.89	1.84	4.34	1.84	2.11	2.58	2.68
AT5G23395	50.1	34.65	43.88	30.43	38.4	44.55	52.64	44.39
AT5G23400	2.07	2.61	8.41	8.73	3.29	5.66	4.22	5.6
AT5G23405	22.94	28.72	8.05	17.14	24.06	30.83	12.01	22.78
AT5G23410	2.98	0	2.53	0.61	0.32	2.52	0	4.62
AT5G23411	0	0	0	0	0	0	0	0
AT5G23413	0	0	0	0	0	0	0	0
AT5G23420	306.18	128.44	52.12	135.87	69.54	102.7	69.86	124.57
AT5G23430	16.07	19.31	7.46	14.29	11.53	15.98	9.36	12.7
AT5G23440	9.7	13.92	14.74	17.54	8.31	11.01	15.03	14.26
AT5G23450	6.89	9.11	5.82	5.81	4.99	4.71	2.28	3.65
AT5G23460	1.88	2.07	6.83	5.58	2.44	2.68	3.46	3.88
AT5G23470	0	0	0	0	0	0.52	0	0
AT5G23480	84.38	71.51	15.2	19.35	52.53	66.18	13.23	40.91
AT5G23490	3.06	2.47	0.76	1	1.44	2.43	2.02	1.66
AT5G23510	0	0	0	0	0	0.25	0	0
AT5G23520	3.42	5.48	2.66	5.8	0.6	4.61	1.48	4.21
AT5G23530	4.24	8.73	36.84	16.21	4.94	4.41	9.42	5.96
AT5G23535	376.72	328.9	326.58	304.16	391.63	278.09	344.86	337.44
AT5G23540	181.2	236.78	259.58	337.21	295.21	259.34	309.05	272.37
AT5G23550	28.88	21.88	20.31	38.2	43.27	42.83	37.51	30.63
AT5G23570	16.32	19.17	5.62	18.66	9.44	22.68	9.59	21.55
AT5G23575	23.23	20.05	24.54	35.25	15.4	19.45	17.33	25.1
AT5G23580	3.45	3.39	11.08	11.59	6.77	10.67	6.4	8.08
AT5G23590	44.84	30.36	28.94	31.69	32.46	37.58	23.9	37.5
AT5G23600	4.83	0	2.39	1.14	2.58	5.62	1.74	5.25
AT5G23610	61.32	67.02	23.26	44.62	24.1	52.42	19.22	42.41
AT5G23630	11.91	16.38	7.91	10.04	7.55	8.24	5.22	8.23
AT5G23650	0	0	1	0	0	0	0	0
AT5G23660	93.82	196.18	84.8	156.04	119.99	51.31	65.69	66.99
AT5G23665	0	0	0	0	5.59	0	0	0
AT5G23670	15.63	11.65	10.65	17.26	15.05	12.38	6.91	11.02
AT5G23680	16.39	20.14	6.27	8.77	8.44	8.08	3.13	8.36
AT5G23690	6.96	12.65	8.28	15.56	9.37	13.74	14.41	20.39
AT5G23700	0.87	1.18	1.76	1.58	0.24	1.72	0.48	0.8
AT5G23710	18.38	27.48	20.46	14.81	16.96	21.1	8.07	15.02
AT5G23720	3.09	6.34	3.05	4.99	0.4	5.83	4.67	4.82
AT5G23730	0	0	0.12	1.25	0	0.15	0.23	0.54
AT5G23740	1064.47	1053.76	1735.43	1529.48	1670.37	1377.24	2209.47	1576.55
AT5G23750	0	0	1.87	1.32	0	3.59	0	0
AT5G23760	0.67	0.42	4.79	3.08	0.63	0.69	0	0.61
AT5G23770	1.16	4.51	0.58	1.57	0.34	2.23	0.83	1.53
AT5G23780	5.63	1.12	2.03	4.69	5.64	3.23	3.68	3.26
AT5G23790	1.05	0	0	0	0	0	0	0
AT5G23800	3.73	3.85	0.46	1.64	1.5	1.41	1.93	1.87
AT5G23810	0.6	0	0.2	0.16	0	0	0	0
AT5G23820	0	0	2.94	0.14	0	0	0	0
AT5G23830	0	0	0	0	0	0	0	0
AT5G23840	0	0	0	0	0	0	0	0
AT5G23850	1.24	1.95	1.16	2.99	1.27	1.61	1.28	1.42
AT5G23860	41.87	61.18	25.7	32.94	15.99	15.7	4.3	8.42
AT5G23870	0	0.41	2.77	1.46	0	0	0.61	0
AT5G23880	15.08	12.13	9.92	14.17	8.62	15.13	7.52	15.72
AT5G23890	4.45	2.09	1.82	3.54	2.63	3.1	1.39	4.14
AT5G23900	844.13	722.57	1210.08	745.46	845.02	694.63	754.43	748.99
AT5G23903	0	0	0	0	0	0	0	0
AT5G23908	0	0	0	0	0	0	0	0
AT5G23910	6.9	13.25	5.23	8.92	9.82	9.14	5.31	8.68
AT5G23920	0	0	3.66	3.74	0	0.24	1.41	0.83
AT5G23930	4.84	2.73	4.62	5.45	2.65	4.5	9.37	8.29
AT5G23940	3.89	1.73	43.99	48.9	10.81	36.47	84.46	126.68
AT5G23950	0.23	0	0.16	1.6	0	0.94	1.4	3.1
AT5G23955	0.21	1.35	0.43	0.11	0	0.56	0.61	0.3
AT5G23960	0	0	0	0	0	0	0	0
AT5G23970	0	0	0	0	0	0	0	0
AT5G23980	0	0	0	0	0	0	0	0
AT5G23990	0	0	0	0	0	0	0	0
AT5G24000	3.89	7.18	0.56	3.84	0.13	3.75	2.37	2.42
AT5G24010	0.62	1.07	0.81	2.99	2.18	0.48	2.21	1.06
AT5G24020	60.55	64.35	45.26	43.41	32.32	45.68	42.5	45.22
AT5G24030	0.36	0	0.07	0	0.51	0.09	0	0
AT5G24040	0	0	0	0	0	0	0	0
AT5G24050	0	0	0	0	0	0	0	0
AT5G24060	4.31	7.92	0.79	0.89	1.91	3.07	1.62	1.24
AT5G24065	1.95	0	0	0.5	0	2.87	0	0
AT5G24070	0	0	0	0	0	0	0	0
AT5G24080	0	0	0	0	0.07	0.08	0	0
AT5G24090	0.36	0	0	0	0	0	0	0
AT5G24100	0	0	0	0	0	0	0	0
AT5G24105	26.97	7.11	9.11	16.53	0.59	0.33	0.49	0
AT5G24110	1.4	3.29	0	0	0	1.63	1.76	0.96
AT5G24120	0.64	1.34	2.23	2.87	2.91	2.32	0.33	0.97
AT5G24130	3.11	9.71	9.2	8.59	18.91	8.01	2.64	5.43
AT5G24140	0	0	0	0	0	0	0.09	0
AT5G24150	0	0	0.29	0	0	0	0	0
AT5G24155	0.24	0	0	0.48	0	0.19	0	0
AT5G24160	1.16	0	0.21	0	0	0	0	0
AT5G24165	8.35	2.44	5.64	11.88	0.6	3.72	22.13	7.58
AT5G24170	13.74	16.66	13.6	14.05	10.04	10.77	10.68	10.7
AT5G24180	0	0	0	0	0	0	0	0
AT5G24190	0	1.4	0	0	0	0.23	0	0
AT5G24200	0	0	0.65	0.74	0	0	0	0
AT5G24205	1.2	3	0	0.56	0	0.28	0.7	0.27
AT5G24206	0.51	2.55	0.41	0.33	3.35	3.16	0	0.46
AT5G24210	0	0	0	0	0	0.3	0	0
AT5G24215	0	0	0	0	0	0	0	0
AT5G24220	0	0	0	0	0	0	0	0
AT5G24230	0	0.62	0	0	0	0	0	0
AT5G24240	22.2	11.61	4.31	10.37	25.27	17.39	3.3	8.8
AT5G24260	4.77	7.62	3.78	5.22	4.99	5.13	3.17	5.54
AT5G24270	0.4	1.13	0.14	1	1.06	2.98	0.51	3.34
AT5G24275	16.66	15.46	5.41	18.57	8.28	18.01	8.15	15.45
AT5G24280	5.02	5.06	2.39	1.81	2.27	2.94	0.11	0.88
AT5G24290	0	0	0.19	0.16	0	0	0	0
AT5G24300	13.82	11.43	15.44	18.53	8.81	14.7	8.52	12.16
AT5G24310	8.01	4.64	4.24	6.73	0.87	7.49	3.6	8.93
AT5G24313	0	0	0	0	0	0	0	0
