ColxCvi_2cell	CvixCol_2cell	unwashed_ColxCvi_8cell	unwashed_CvixCol_8cell	ColxCvi_8cell	CvixCol_8cell	ColxCvi_eg	CvixCol_eg
AT1G04023	0	0	0	0.54	0	0	0.6	0
AT1G04027	0	0	0	0	0	0	0	0
AT1G04030	12.44	7.18	6.43	17.44	11.65	15.94	9.13	17.17
AT1G04033	0	0	0	0	0	0	0	0
AT1G04037	0	0	0	0	0	0	0	0
AT1G04040	0.55	3.81	14.06	27.26	2.96	6.34	0.82	2.63
AT1G04043	0	0	0	0	0	0	0	0
AT1G04047	0.53	3.98	0	1.39	0.99	3.82	0.41	0.48
AT1G04050	5.22	6.15	2.19	3.33	6.37	5.62	3.43	3.99
AT1G04053	2.04	4.04	3.53	7.3	5.53	4.2	0	7.02
AT1G04057	0	0	0	0.95	0	0	0	0
AT1G04063	0	0	0	0	0	0	0	0
AT1G04067	0	0	0.75	0	0	0.52	0	0
AT1G04070	130.65	140.14	270.43	165.42	188.1	96.45	200.07	100.1
AT1G04073	0	0	0	0	0	0	0	1.01
AT1G04077	0	0	0	0	0	0	0	0
AT1G04080	93.73	88.22	51.7	74.52	56.46	74.54	56.25	71.16
AT1G04083	0	0	0	0	0	2.84	0	0
AT1G04087	0	0	0	0	0	0	0	3.46
AT1G04090	0.74	1.46	0.77	0.76	0.7	0.77	0.82	1.45
AT1G04093	0	0	0	0	0	0	0	0
AT1G04097	0	0	0	0	0	0	0	0
AT1G04100	0.52	1.73	1.52	3.26	1.01	1.61	0.53	0.79
AT1G04103	0	0	0	0	0	0	0	0
AT1G04105	0	0	0	0.07	2.69	0	0	0
AT1G04107	39.62	67.07	49.33	31.3	60.11	24.28	24.15	30.94
AT1G04110	0.18	2.22	1.42	1.16	3.34	1.74	0.62	1.29
AT1G04117	3.68	3.23	3.35	4.54	1.54	3.32	2.75	1.75
AT1G04120	5.41	3.85	3.32	4.31	3.22	3.87	2.19	3.45
AT1G04123	1.68	0	0	0	0.96	0	0	0
AT1G04127	0	0	0	0	0	0	0	0
AT1G04130	34.36	24.24	16.5	24.95	23.37	51.86	17.39	39.46
AT1G04133	0	0.66	0	0	0	0	0	0
AT1G04137	0	0	0	0	0	0	0	0.42
AT1G04140	21.09	25.62	13.25	17.77	16.2	18.1	10.37	14.52
AT1G04143	4.32	0	0	2.44	0	0	0.48	0.56
AT1G04147	1.8	0	0	1.79	6.81	6.55	0.7	0.83
AT1G04150	7.85	11.11	9.52	17.22	11.52	11.52	18.55	15.16
AT1G04153	0	0	0	0	0	0	0	0.47
AT1G04157	0	0	0	0	0	0	0	0
AT1G04160	2.25	2.99	1.95	2.53	1.64	4.74	1.15	2.22
AT1G04163	0	0	0	0	0	1.31	0	0
AT1G04167	0	0	0	0	0	0	0	0
AT1G04170	101.69	92.74	78.79	79.85	92.54	74.34	83.14	84.04
AT1G04173	2.59	3.26	0	0	0	1.34	0	0
AT1G04177	0	0	0	0	0	0	0	0
AT1G04180	1.08	0	0	0.98	0	0.14	0.63	0.37
AT1G04183	2.22	0	0.78	0	0	0.97	0.31	0.2
AT1G04187	0	0	0	0	0	0	0	0
AT1G04190	100.65	90.89	71.96	122.58	71.3	94.32	67.3	132.22
AT1G04193	5.34	3.36	3.44	0	0	0	0	0
AT1G04197	0	0	0	0	0	0	0	1.82
AT1G04200	8.43	8.8	4.21	3.97	5.39	8.17	2.99	6.15
